question	answer	question_seg	question_seg_stop
UT5是否必须要安装在原有通信公司行情接收软件UT的PC上？	如果有条件的话，建议在单独的PC上安装UT5，并直连或通过交换机连接单向卫星机顶盒LAN2口，UT5也可以安装在原有运行UT的PC上，但建议内存1G以上。如果使用单向卫星接收信息，建议将PC机IP地址末位修改为.18（原SatelliteReceiver使用.11的地址），如果原地址已被其它软件绑定使用不方便修改，则建议在接收网卡上增加一个.18的地址，并把IP地址设置为与单向接收机顶盒LAN2口IP地址同一子网。UT5信息落地目录建议和原UT4落地目录设置一致，这样就无需修改下游系统的设置。	['是否', '必须', '要', '安装', '在', '原有', '通信', '公司', '行情', '接收', '软件', '的', '上']	 是否 必须 要 安装 原有 通信 公司 行情 接收 软件 上
mktdt03.txt的刷新频度？	每0.5秒一幅增量，30秒一幅全量。	['的', '刷新', '频度']	 刷新 频度
目前FAST行情通过什么软件接收？	FAST行情数据通过EzSR进行接收，EzSR是一款专为基于SR/FAST协议数据接收处理而设计的绿色软件。主要功能包括多播与单点的行情，文件和消息数据处理等。更多内容请参考	['目前', '行情', '通过', '什么', '软件', '接收']	 目前 行情 软件 接收
如果在开市期间（比如1000-1030）关闭了报盘机，然后在1030再启动报盘程序，是否可以收到1000-1030之间所产生的成交回报？	可以！EzOES或EzSTEP在启动时会去检查本地和交易主机端相比丢失了多少条成交，如果该数目较大（目前暂定为大于10000），恢复成交可能会需要较长时间，则弹出一个提示框，显示丢失的成交条数并提示是否需要恢复丢失的成交，选择“是”则会自动恢复丢失的成交数据；如果选择“否”则不恢复丢失的成交而是直接收新成交。如果该数目小于10000则自动进行成交回报的恢复，因为恢复较少的成交回报需要的时间较短，从而无需选择确认。所以问题中不弹出提示框则成交数据能自动恢复；如果弹出了提示框则是否恢复取决于用户的主动选择。	['如果', '在', '开市', '期间', '比如', '关闭', '了', '报盘', '机', '然后', '在', '再启动', '报盘', '程序', '是否', '可以', '收到', '之间', '所', '产生', '的', '成交', '回报']	 开市 期间 关闭 报盘 机 再启动 报盘 程序 是否 收到 之间 产生 成交 回报
上交所数字证书Ekey的驱动程序及工具可以在哪里下载？	用户可按如下路径进入下载区上交所官网→服务→信息服务→CA服务。链接地址为http://biz.sse.com.cn/sseportal/ps/zhs/ca/download.jsp	['上交所', '数字证书', '的', '驱动程序', '及', '工具', '可以', '在', '哪里', '下载']	 上交所 数字证书 驱动程序 工具 下载
如何才能使指定交易登记、指定交易撤销、ETF申购、ETF赎回业务对整个报单速度没有影响？在公司合并或者营业部等调整时，大批量的转指定怎么进行？	由于指定交易业务涉及后台多个主机，为避免在发出对某一个账户指定登记或指定撤销指令后，即刻发出该账户的另外订单场景下，可能出现的“后发订单先完成”的现象，EzOES出厂配置实现了针对一个投资者账户进行指定交易的同步机制。即当EzOES在没有收到一个投资者账户已经发出的指定登记或者指定撤销指令的确认时，如果后续订单出现该投资者账户的订单，则阻塞整个发单过程，直到收到该投资者的指定登记或指定撤销确认。所以，市场参与者要尽量避免在投资者指定交易登记或者撤销指令未获得确认的情况下，就将该投资者的后续订单写入申报接口表。万一将大量这种模式的组合写入接口表，需要及时清除。而且，如果柜台系统能够确保指定交易类业务未完成确认后再向接口表插入同一投资者的其他后续订单，那么可以在EzOES上把同账户指定交易委托和后续买卖委托“停等”配置为关，即把配置文件EzOES.ini中配置项设置为如下checkblock.dt=FALSE。同理，ETF申购、赎回业务涉及后台多个主机，ETF申购、赎回业务和其后续的买卖订单也需要进行同步控制。但是，如果柜台系统具有控制投资者账户证券不得卖空的能力，那么可以在EzOES上把ETF申购、赎回委托和后续买卖委托“停等”配置为关，即把配置文件EzOES.ini中配置项设置为如下checkblock.etf=FALSE。还有一种情况需要特别说明，当会员公司之间发生兼并、联合，或者会员公司内部进行集中交易改造等变化时，有可能需要对大量投资者账户的指定关系进行变更。假设一种场景如下交易单元P1上共指定了投资者I1、I2、…、In，现欲将其中I1、I2、…、Im转移到交易单元P2，Im+1、…、In转移指定到交易单元P3。为完成此目标，会员公司可首先将P1和P2、P3设为连通席位，然后向P2的委托表依次输入I1、I2、…、Im的撤销指定交易指令，然后再依次输入I1、I2、…、Im的指定交易指令，对P3也如法炮制。注意，绝对不可按照I1撤销指定交易指令、I1指定交易指令、I2撤销指定交易指令、I2指定交易指令这样的模式向P2委托表生成数据。	['如何', '才能', '使', '指定', '交易', '登记', '指定', '交易', '撤销', '申购', '赎回', '业务', '对', '整个', '报单', '速度', '没有', '影响', '在', '公司', '合并', '或者', '营业部', '等', '调整', '时', '大批量', '的', '转', '指定', '怎么', '进行']	 才能 使 指定 交易 登记 指定 交易 撤销 申购 赎回 业务 整个 报单 速度 没有 影响 公司 合并 营业部 调整 时 大批量 转 指定 进行
做可转债转股，收到了委托确认，却没有成功，在jsmx里面没有记录，是不是交易所没报到登记公司？	没有jsmx不能说明没报到登记公司。可转债转股属于非交易类业务，清算优先级低于买卖，有委托确认没有成交回报。如果失败的话在jsmx里面不会出现该记录。所以可能是转股失败了。	['做', '可转', '债转股', '收到', '了', '委托', '确认', '却', '没有', '成功', '在', '里面', '没有', '记录', '是不是', '交易所', '没报', '到', '登记', '公司']	 做 可转 债转股 收到 委托 确认 却 没有 成功 里面 没有 记录 是不是 交易所 没报 到 登记 公司
登录报盘机报“获取参考数据失败”怎么处理？	1、请确认使用EzSTEP2016版，（注复制其他版本的配置文件）2、请确保在配置环境时，后台平台与后台环境号正确对应；3、获取参考数据的超时时间的配置方法在ezstep.ini的配置文件中增加一行special.timeout=300注需重启ezstep生效。	['登录', '报盘', '机报', '获取', '参考', '数据', '失败', '怎么', '处理']	 登录 报盘 机报 获取 参考 数据 失败 处理
如因故丢失了数据库中的委托确认表数据，如何恢复，会影响后续订单的申报吗？		['如', '因故', '丢失', '了', '数据库', '中', '的', '委托', '确认', '表', '数据', '如何', '恢复', '会', '影响', '后续', '订单', '的', '申报', '吗']	 因故 丢失 数据库 中 委托 确认 表 数据 恢复 会 影响 后续 订单 申报
EzSR上接收SR协议，接收一段时间程序就发生异常？	应该是JAVA运行环境版本为JDK8，EzSR此版本还未支持。建议换到JDK6。	['上', '接收', '协议', '接收', '一段时间', '程序', '就', '发生', '异常']	 上 接收 协议 接收 一段时间 程序 发生 异常
为什么UT5客户端收不到港股行情文件mktdt04.txt?	首先请确认公司已获得上海证券交易所港股通业务资格，列表参见如果是卫星用户，请确认运行UT5的客户端PC连接在卫星机顶盒的LAN2口，并可以PING通LAN2口的结尾为.1的IP地址。目前仅有配置.18和.11结尾IP地址的客户端可以接收港股行情。接着可以在UT5技术支持QQ群（306752972）下载UT5ID查询器，运行并确认UT5客户端IP地址和用户ID配置正确。一般情况下.18的客户端ID为四位数，.11的客户端ID为五位数，数值为.18ID加10000。打开utconfig.xml文件，确认<InterfaceID=“XXXX”Desc=“卫星链路”IP=“A.B.C.D”PORT=“9902”UCPORT=“9900”/>一行中，ID为UT5客户端ID，IP为客户端PC的IP地址；并确认<ServiceID=“XXXX”Path=“C:\UT5\PRIVATE”Desc=“私有数据”/>一行中，ID为UT5客户端ID。配置如有修改，请重启客户端，等待3-5分钟检查是否收到mktdt04.txt文件。如果还不能接收，请致电400-900-3600转3请求协助。http://biz.sse.com.cn/sseportal/webapp/listcompany/ProOperationQualification?flag=7	['为什么', '客户端', '收不到', '港股', '行情', '文件']	 客户端 收不到 港股 行情 文件
什么情况下不允许撤销指定？	常见不允许撤销指定的原因有	['什么', '情况', '下', '不', '允许', '撤销', '指定']	 情况 下 不 允许 撤销 指定
上海大宗交易最低报价门槛是多少？	根据《上海证券交易所交易规则》3.7.1在本所进行的证券买卖符合以下条件的，可以采用大宗交易方式（一）A股单笔买卖申报数量应当不低于30万股，或者交易金额不低于200万元人民币；（二）B股单笔买卖申报数量应当不低于30万股，或者交易金额不低于20万元美元；（三）基金大宗交易的单笔买卖申报数量应当不低于200万份，或者交易金额不低于200万元；（四）债券及债券回购大宗交易的单笔买卖申报数量应当不低于1000手，或者交易金额不低于100万元；本所可以根据市场情况调整大宗交易的最低限额。	['上海', '大宗', '交易', '最低', '报价', '门槛', '是', '多少']	 上海 大宗 交易 最低 报价 门槛
在检查操作系统、网络连接、软件设置均正常的情况下，UT5软件为什么无法接收到任何信息？	首先确认从UT5所在PC可以ping通宽广机顶盒LAN2网口IP地址或地面线路网关。如果不能ping通，则检查网络连接情况；然后检查UT5所在PC是否安装了防火墙功能，如果安装了，请先暂时关闭防火墙功能，UT5目前仅使用组播地址230.13.1.1，端口9902和9900接收数据，如果仍然接收失败，请准备好自己的UT客户端ID，加入技术支持QQ群306752972，我们的资深网管工程师会帮您解决问题。	['在', '检查', '操作系统', '网络连接', '软件', '设置', '均', '正常', '的', '情况', '下', '软件', '为什么', '无法', '接收', '到', '任何', '信息']	 检查 操作系统 网络连接 软件 设置 均 正常 情况 下 软件 无法 接收 到 信息
